"","Assoc","Beta0","Beta1","Sigma","A11","A22","SE0","SE1","SEy","Time"
"40",0.470570535119471,-0.208785302740589,0.252404036720409,0.47588425917351,0.4726834,0.3018483,0.0377838117659719,0.0280739662406648,0.115040157142976,0.181862831115723
"41",0.413439203632458,-0.171331889020622,0.291344815194773,0.493129884034012,0.5257245,0.2863439,0.0411251417618709,0.0268447578456382,0.110647017315055,0.211152076721191
"42",0.607116786901538,-0.223430143268474,0.284758098458056,0.49690664706523,0.5283191,0.2960744,0.0413680312668391,0.0299334553589578,0.129052064450997,0.119683027267456
"43",0.539036312053169,-0.169222168995116,0.255798634218361,0.477698881683856,0.4974953,0.3149237,0.0392414049487254,0.0278401462575584,0.101073319463174,0.155584096908569
"44",0.623868961232741,-0.246222663957363,0.264665296154018,0.500527108596226,0.5082768,0.2884529,0.0406912416896132,0.0278321688677051,0.102835539800587,0.195126056671143
"45",0.690536165434227,-0.130807024218242,0.208389453023032,0.477182815375632,0.4665163,0.302871,0.0376432766148605,0.0281130294281737,0.107983047429221,0.172054052352905
"46",0.434140244235424,-0.188959281486682,0.257897078390408,0.472070326462292,0.5027702,0.2877637,0.0394764049051708,0.0288802461884375,0.104343221327883,0.116690158843994
"47",0.769255745572294,-0.191624422016503,0.264420413285691,0.503469597555677,0.5751069,0.2853547,0.0437922362664424,0.0263560271107226,0.115743688784175,0.181897878646851
"48",0.491884435612543,-0.195036339677013,0.349419187078921,0.517704637022099,0.4998768,0.3668167,0.041114429531457,0.0347150688090758,0.0915992300272138,0.126862049102783
"49",0.653971116852924,-0.124712693579686,0.276232449241106,0.515034594782862,0.4386485,0.2898818,0.0374890848163921,0.0279390719999282,0.113429653857074,0.253940105438232
"50",0.616442009937098,-0.0998339594705271,0.234987536282931,0.477849202876242,0.5115413,0.2641807,0.0399615973710278,0.0254604404332184,0.121977056671169,0.101202964782715
"51",0.671490643120711,-0.148292809125167,0.279245828906051,0.4952211910347,0.4810136,0.2656722,0.0387473377607326,0.0255569602356552,0.126052129661525,0.170597076416016
"52",0.61814412366702,-0.144584017365853,0.274045111195901,0.514244137840349,0.4656313,0.2852445,0.0386092576414525,0.0288992948328846,0.110160405395403,0.287233114242554
"53",0.570317564803962,-0.217945198988484,0.257325130840635,0.50243200818012,0.5321938,0.3145042,0.0416670020223646,0.0296134090201924,0.094249687018826,0.149641990661621
"54",0.633674568341705,-0.189843049132853,0.219306341783449,0.498684471212063,0.4458536,0.2900577,0.0369974856056505,0.0282367898355265,0.120355011271163,0.185259103775024
"55",0.643707053341526,-0.258210772788386,0.266245309774719,0.498109317632345,0.4869405,0.25084,0.039067223839931,0.0244654200176988,0.125411130583579,0.19547700881958
"56",0.843120635288795,-0.179929975691497,0.234560997388351,0.497834810708936,0.4553985,0.2922554,0.0373605764847309,0.0264479024161326,0.12349950952712,0.125106811523438
"57",0.536755316720964,-0.206102849574549,0.217322418418694,0.517551199579704,0.4742164,0.2477957,0.0386402676828628,0.0245898754827205,0.106465774292427,0.296175003051758
"58",0.595700585397281,-0.260071016695652,0.30997291191865,0.498877828509823,0.4953689,0.282674,0.0400279608036932,0.0276314197595814,0.120006139858826,0.162909984588623
"59",0.507279489282198,-0.127811855599249,0.245256617636695,0.527201317048413,0.48867,0.2510573,0.039753085093684,0.0248251865611811,0.118633132520519,0.254770994186401
"60",0.604114060085559,-0.148003726627672,0.335660166818416,0.512890317481773,0.5173485,0.2832892,0.0412759193372225,0.0278005041546554,0.0959676089190942,0.102686166763306
"61",0.728561828429733,-0.17880815363307,0.269219309822441,0.542517861341595,0.4534237,0.2966007,0.0386807963416568,0.0285106715832796,0.115268143752497,0.168708801269531
"62",0.538769029057114,-0.237985539773203,0.279242576060641,0.495338862005687,0.4642747,0.2900782,0.0378082590624089,0.0277302801804987,0.0997453293403999,0.192086935043335
"63",0.598301230463525,-0.248796847433723,0.292977877413728,0.484337814445716,0.472137,0.2723955,0.0377843121397075,0.0252218406408611,0.120118730828887,0.151563167572021
"64",0.641465153930966,-0.161511143855512,0.234729091800279,0.489339243364479,0.4652321,0.2550526,0.0375944484724013,0.0241465564095261,0.110788588817411,0.156126976013184
"65",0.507665432172592,-0.189650072303373,0.253428543586106,0.490905857902451,0.5595683,0.2893994,0.0427840420136984,0.0272190873215364,0.103346311791554,0.146657943725586
"66",0.611949075665664,-0.265556450853225,0.274182820020881,0.4809154442204,0.4877923,0.2939915,0.0389835374173105,0.0281407791637755,0.102794311501952,0.208884000778198
"67",0.627278713405851,-0.140606993158673,0.282883918452922,0.495934414161339,0.4951032,0.2770206,0.0394431317471418,0.0264202555760922,0.0978238624531793,0.0901920795440674
"68",0.61998966653956,-0.294239446933276,0.290436568241359,0.522366454344369,0.4900703,0.3173597,0.0397947622901357,0.0293665851405587,0.104762597356656,0.148637056350708
"69",0.664203426992959,-0.200853671195371,0.258654221734639,0.506622288146536,0.4733132,0.3173849,0.0387447749857237,0.0295311898715728,0.103714604891227,0.195929050445557
"70",0.599024638336608,-0.145339218883853,0.278245780940524,0.491457520753702,0.5650544,0.3080426,0.0432049207507593,0.0288288143744657,0.105584389409096,0.163512945175171
"71",0.732292872610568,-0.198942962767945,0.284679028363878,0.501090394459045,0.4790264,0.2757714,0.0388776093168029,0.0260887922816368,0.120319148884405,0.172815084457397
"72",0.659832291666115,-0.168696925109648,0.275493719001343,0.536492616953877,0.4446845,0.2905381,0.0382672280196661,0.0284168564356868,0.121645189112863,0.208729982376099
"73",0.664790266804706,-0.240125773719256,0.3001693381081,0.488052720847705,0.4826996,0.3078704,0.038601262778505,0.0292038337263126,0.105928489168727,0.158185958862305
"74",0.65151850924131,-0.188491483400768,0.259213919022093,0.5183320308219,0.5590204,0.3058827,0.0435200001722146,0.0301555577057853,0.0991448213598671,0.165762186050415
"75",0.452406030584639,-0.223788268194854,0.306251201664278,0.540942387613444,0.436606,0.2937813,0.0388388052754803,0.0319207620927345,0.0993102641308014,0.281481981277466
"76",0.538087361275238,-0.0909754984239385,0.26806973984838,0.513405043269303,0.4412516,0.2939025,0.0371259087951005,0.0273692635562955,0.102269788189003,0.209952831268311
"77",0.494754673011162,-0.205151223193314,0.26583201978822,0.507619786979311,0.5005252,0.246715,0.0406051295375486,0.0261426303945023,0.119408520232795,0.278291940689087
